condition,seed,realized_distance,node_count,edge_count,total_undirected_weight,success,first_passage_step,peak_goal_activation,final_goal_rank
mixed,19,2,10,20,9.0332199825,1,10,0.4957257446,4
fixed_initial,20,6,10,9,9.8034357530,0,,0.0000000000,9
fixed_useful,20,2,10,9,9.8034357530,1,8,1.1035488855,2
fixed_irrelevant,20,8,10,9,9.8034357530,0,,0.0000000000,9
mixed,20,2,10,21,9.8034357530,1,11,0.4219462443,4
fixed_initial,21,6,10,9,9.1211436871,0,,0.0000704493,6
fixed_useful,21,2,10,9,9.1211436871,1,7,1.2453640661,2
fixed_irrelevant,21,8,10,9,9.1211436871,0,,0.0000000000,9
mixed,21,2,10,23,9.1211436871,1,15,0.3734855257,6
fixed_initial,22,6,10,9,8.9249149990,0,,0.0000000000,9
fixed_useful,22,2,10,9,8.9249149990,1,8,0.9540222166,2
fixed_irrelevant,22,8,10,9,8.9249149990,0,,0.0000000000,9
mixed,22,2,10,21,8.9249149990,1,15,0.3015718926,6
fixed_initial,23,6,10,9,9.0870471178,0,,0.0000000000,9
fixed_useful,23,2,10,9,9.0870471178,1,8,1.1875966532,2
fixed_irrelevant,23,8,10,9,9.0870471178,0,,0.0000000000,9
mixed,23,2,10,21,9.0870471178,1,11,0.4398240817,4
fixed_initial,24,6,10,9,9.0395293197,0,,0.0000000000,9
fixed_useful,24,2,10,9,9.0395293197,1,8,1.1357147371,2
fixed_irrelevant,24,8,10,9,9.0395293197,0,,0.0000000000,9
mixed,24,2,10,20,9.0395293197,1,13,0.3622177799,6
fixed_initial,25,6,10,9,9.2481844127,0,,0.0000000000,9
fixed_useful,25,2,10,9,9.2481844127,1,7,1.2632808912,2
fixed_irrelevant,25,8,10,9,9.2481844127,0,,0.0000000000,9
mixed,25,2,10,23,9.2481844127,1,11,0.4444036480,4
fixed_initial,26,6,10,9,8.8314351751,0,,0.0000000000,9
fixed_useful,26,2,10,9,8.8314351751,1,8,1.0241466634,2
fixed_irrelevant,26,8,10,9,8.8314351751,0,,0.0000000000,9
