topology,propagation_rule,policy,evaluation_threshold,patience_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count,variable_dwell_seed_fraction
branched_path,symmetric_normalized,adaptation_only,0.01,40,150,1.0000,0.29004850,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.01,60,150,0.8000,0.24182266,33.600,1.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,1,150,1.0000,0.13782095,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,2,150,1.0000,0.14097123,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,3,150,1.0000,0.14231887,39.000,39.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,4,150,1.0000,0.14726692,40.000,29.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,5,150,1.0000,0.15044636,40.000,23.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,7,150,1.0000,0.16037778,40.000,14.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,10,150,1.0000,0.16528005,38.267,10.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,15,150,1.0000,0.16752178,36.213,7.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,20,150,1.0000,0.20840354,40.000,5.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,30,150,1.0000,0.21692803,31.000,3.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,40,150,1.0000,0.28868697,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.02,60,150,0.7933,0.23196788,31.600,1.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,1,150,1.0000,0.13843693,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,2,150,1.0000,0.14222222,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,3,150,1.0000,0.14444605,39.000,39.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,4,150,1.0000,0.14973935,40.000,29.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,5,150,1.0000,0.15347070,40.000,23.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,7,150,1.0000,0.16470985,40.000,14.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,10,150,1.0000,0.16791704,37.800,10.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,15,150,1.0000,0.17345648,35.840,7.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,20,150,1.0000,0.21480077,40.000,5.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.04,30,150,1.0000,0.22468305,31.000,3.000,0.0000
