topology,propagation_rule,decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
path,source_normalized,1,0.0005,2088,1,1.1578149252,107,5
path,source_normalized,1,0.0005,2089,1,1.0034356484,105,4
path,source_normalized,1,0.0005,2090,1,1.2318691846,115,7
path,source_normalized,1,0.0005,2091,1,1.0813761565,116,5
path,source_normalized,1,0.0005,2092,1,0.2903112670,4,12
path,source_normalized,1,0.0005,2093,1,1.1591414341,116,5
path,source_normalized,1,0.0005,2094,1,0.2790822833,2,6
path,source_normalized,1,0.0005,2095,1,1.1620727558,117,4
path,source_normalized,1,0.0005,2096,1,0.1689491364,4,12
path,source_normalized,1,0.0005,2097,1,1.2687670255,116,5
path,source_normalized,1,0.0005,2098,1,1.2559512619,116,5
path,source_normalized,1,0.0005,2099,1,1.1190690384,115,7
path,source_normalized,1,0.0005,2100,1,1.0832397928,114,8
path,source_normalized,1,0.0005,2101,1,1.1553679586,108,4
path,source_normalized,1,0.0005,2102,1,1.0925011751,86,8
path,source_normalized,1,0.0005,2103,1,1.0613573056,100,5
path,source_normalized,1,0.0005,2104,1,1.0750239345,56,5
path,source_normalized,1,0.0005,2105,1,1.2769635252,116,5
path,source_normalized,1,0.0005,2106,1,1.1948460401,116,5
path,source_normalized,1,0.0005,2107,1,0.0802896482,4,12
path,source_normalized,1,0.0005,2108,1,0.8519413869,57,13
path,source_normalized,1,0.0005,2109,1,1.1355900326,117,4
path,source_normalized,1,0.0005,2110,1,1.1258329813,84,5
path,source_normalized,1,0.0005,2111,1,1.1045155140,101,7
path,source_normalized,1,0.0005,2112,1,0.2998103616,3,9
path,source_normalized,1,0.0005,2113,1,1.0145401383,53,5
path,source_normalized,1,0.0005,2114,1,0.0591117735,8,14
path,source_normalized,1,0.0005,2115,1,0.9271234914,69,5
path,source_normalized,1,0.0005,2116,1,0.8928195168,37,8
path,source_normalized,1,0.0005,2117,1,0.3348346057,2,7
path,source_normalized,1,0.0005,2118,1,1.0051201625,73,7
path,source_normalized,1,0.0005,2119,1,1.1488677406,109,4
path,source_normalized,1,0.0005,2120,1,1.0340925037,87,8
path,source_normalized,1,0.0005,2121,1,0.9452112718,115,7
path,source_normalized,1,0.0005,2122,1,1.1877637905,117,4
path,source_normalized,1,0.0005,2123,1,1.1029585036,115,7
path,source_normalized,1,0.0005,2124,1,0.2800507561,2,6
path,source_normalized,1,0.0005,2125,1,1.2225568252,117,4
path,source_normalized,1,0.0005,2126,1,0.3511136039,2,7
path,source_normalized,1,0.0005,2127,1,1.1032970496,87,5
path,source_normalized,1,0.0005,2128,1,0.8295035268,52,5
path,source_normalized,1,0.0005,2129,1,1.1321608671,100,7
path,source_normalized,1,0.0005,2130,1,1.1292614438,117,4
path,source_normalized,1,0.0005,2131,1,1.1583714480,117,4
path,source_normalized,1,0.0005,2132,1,0.5929480761,2,7
path,source_normalized,1,0.0005,2133,1,1.2107054187,116,5
path,source_normalized,1,0.0005,2134,1,0.7310210520,37,7
path,source_normalized,1,0.0005,2135,1,0.3012723880,2,6
path,source_normalized,1,0.0005,2136,1,1.0759530972,114,8
path,source_normalized,1,0.0005,2137,1,1.1730958317,117,4
path,source_normalized,1,0.0005,2138,1,0.9558933302,49,5
path,source_normalized,1,0.0005,2139,1,1.1594677617,115,7
path,source_normalized,1,0.0005,2140,1,1.1169957792,108,4
path,source_normalized,1,0.0005,2141,1,1.0428860489,99,5
path,source_normalized,1,0.0005,2142,1,1.0974449574,115,7
path,source_normalized,1,0.0005,2143,1,0.9768999463,90,5
path,source_normalized,1,0.0005,2144,1,1.0403064262,116,5
path,source_normalized,1,0.0005,2145,1,0.8948465265,61,5
path,source_normalized,1,0.0005,2146,1,1.0307376798,116,5
path,source_normalized,1,0.0005,2147,1,1.1659278996,115,7
path,source_normalized,1,0.0005,2148,1,1.1234639929,114,8
path,source_normalized,1,0.0005,2149,1,1.1287979234,116,5
path,source_normalized,2,0.0005,2000,1,1.2085514376,116,2
path,source_normalized,2,0.0005,2001,1,1.0682113793,116,2
path,source_normalized,2,0.0005,2002,1,1.1071221557,118,1
path,source_normalized,2,0.0005,2003,1,1.3088333770,118,1
path,source_normalized,2,0.0005,2004,1,1.1806554902,116,2
path,source_normalized,2,0.0005,2005,1,1.0445713229,118,1
path,source_normalized,2,0.0005,2006,1,1.0726083317,118,1
path,source_normalized,2,0.0005,2007,1,1.2144222982,118,1
path,source_normalized,2,0.0005,2008,1,1.0988811567,118,1
path,source_normalized,2,0.0005,2009,1,1.2325403736,118,1
path,source_normalized,2,0.0005,2010,1,1.1897314325,118,1
path,source_normalized,2,0.0005,2011,1,1.2106496357,118,1
path,source_normalized,2,0.0005,2012,1,1.1795867055,106,2
path,source_normalized,2,0.0005,2013,1,1.0356974624,118,1
path,source_normalized,2,0.0005,2014,1,1.1513750207,118,1
path,source_normalized,2,0.0005,2015,1,1.1663467091,116,2
path,source_normalized,2,0.0005,2016,1,1.0722227781,106,2
path,source_normalized,2,0.0005,2017,1,1.1532867309,118,1
path,source_normalized,2,0.0005,2018,1,1.0461812847,118,1
path,source_normalized,2,0.0005,2019,1,1.1723584171,118,1
path,source_normalized,2,0.0005,2020,1,1.0467195347,118,1
path,source_normalized,2,0.0005,2021,1,1.1609427036,118,1
path,source_normalized,2,0.0005,2022,1,1.1351783039,118,1
path,source_normalized,2,0.0005,2023,1,1.2641211627,116,2
path,source_normalized,2,0.0005,2024,1,1.1603508339,116,2
path,source_normalized,2,0.0005,2025,1,1.1778769065,118,1
path,source_normalized,2,0.0005,2026,1,1.1751136789,106,2
path,source_normalized,2,0.0005,2027,1,1.1943167484,118,1
path,source_normalized,2,0.0005,2028,1,1.0814099662,118,1
path,source_normalized,2,0.0005,2029,1,1.1005359051,116,2
path,source_normalized,2,0.0005,2030,1,1.1560540273,118,1
path,source_normalized,2,0.0005,2031,1,1.0772147870,116,2
path,source_normalized,2,0.0005,2032,1,1.1056040164,110,2
path,source_normalized,2,0.0005,2033,1,1.2289703351,116,2
path,source_normalized,2,0.0005,2034,1,1.2390510814,118,1
path,source_normalized,2,0.0005,2035,1,1.1829905074,116,2
path,source_normalized,2,0.0005,2036,1,0.9768833070,116,2
path,source_normalized,2,0.0005,2037,1,1.2153917850,116,2
path,source_normalized,2,0.0005,2038,1,1.1731372851,116,2
path,source_normalized,2,0.0005,2039,1,1.0806620161,118,1
path,source_normalized,2,0.0005,2040,1,1.1702729508,118,1
path,source_normalized,2,0.0005,2041,1,1.2807082352,118,1
path,source_normalized,2,0.0005,2042,1,1.1204828804,118,1
path,source_normalized,2,0.0005,2043,1,1.1456755119,118,1
path,source_normalized,2,0.0005,2044,1,1.0900558627,116,2
path,source_normalized,2,0.0005,2045,1,1.0726893226,118,1
path,source_normalized,2,0.0005,2046,1,1.1703907322,116,2
path,source_normalized,2,0.0005,2047,1,1.1097609611,118,1
