condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
periodic,26,1,19,0.4302825263,5,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,26,1,19,0.4927506238,6,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,26,1,19,1.0043038843,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,26,1,19,1.0043038843,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,27,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,27,1,8,1.1930281927,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,27,1,13,0.3816593003,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,27,1,33,0.4054304000,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,27,1,33,0.4550883668,6,30,30,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,27,1,33,1.1210217382,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,27,1,33,1.1210217382,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,28,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,28,1,8,1.1655820976,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,28,1,16,0.3510325198,8,0,0,0,0,[],"[[""mixed"",120]]"
periodic,28,1,19,0.4988551601,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,28,1,17,0.3247889225,7,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,28,1,19,1.1436811671,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,28,1,17,0.0391280208,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,29,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,29,1,8,1.1295769019,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,29,1,16,0.3543752138,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,29,1,23,0.4577767212,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,29,1,23,0.5072877581,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,29,1,23,0.8714174120,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,29,1,23,0.8714174120,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
fixed_initial,30,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,30,1,8,1.0665238396,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,30,1,11,0.4150991012,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,30,1,33,0.4566730531,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,30,1,19,0.4435002711,4,45,60,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,30,1,33,1.0120414305,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
