condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
fixed_initial,46,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,46,1,8,1.0476484213,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,46,1,10,0.4615385726,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,46,1,19,0.5292315445,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,46,1,19,0.6080184596,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,46,1,19,1.0207338739,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,46,1,19,1.0207338739,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,47,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,47,1,8,1.1591040770,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,47,1,13,0.3886642615,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,47,1,19,0.4853468224,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,47,1,19,0.4548033478,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,47,1,19,1.1319606217,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,47,1,16,0.0829813329,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,48,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,48,1,8,1.0743186488,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,48,1,14,0.3453423126,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,48,1,16,0.5758788642,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,48,1,16,0.5758788642,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,48,1,16,1.0713065401,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,48,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,49,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,49,1,7,1.1757351075,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,49,1,12,0.4324851072,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,49,1,18,0.5744072866,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,49,1,23,0.4920842073,2,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,49,1,18,1.1596561715,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,49,1,23,0.0209281978,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,50,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,50,1,8,1.1145591938,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,50,1,11,0.4498794615,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,50,1,32,0.3967601247,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,50,1,19,0.5238928076,7,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,50,1,32,1.0471264769,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,50,1,32,1.0471264769,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,51,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,51,1,7,1.1605962679,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,51,1,13,0.3849632036,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,51,1,31,0.6290456162,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,51,1,19,0.7027467428,2,60,45,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,51,1,31,1.1329891435,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,51,1,19,0.1818497081,6,15,105,0,2,"[15,30]","[[""initial"",15],[""useful"",15],[""initial"",90]]"
fixed_initial,52,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,52,1,8,0.9781440974,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,52,1,12,0.3402333798,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,52,1,34,0.3860917809,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,52,1,19,0.4323120514,5,45,60,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,52,1,34,0.8969961539,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,52,0,,0.0000000000,9,0,105,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""initial"",90]]"
fixed_initial,53,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,53,1,7,1.1741785533,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,53,1,13,0.3867152071,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,53,1,16,0.6172163484,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,53,1,16,0.5163486132,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,53,1,16,1.1702798857,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,53,0,,0.0002885414,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,54,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,54,1,8,0.9979385441,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,54,1,10,0.4604492815,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,54,1,19,0.4610780425,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,54,1,19,0.6681762298,2,60,30,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,54,1,19,0.9726286246,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,54,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,55,0,,0.0006477743,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,55,1,7,1.2666555141,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,55,1,11,0.4380869003,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,55,1,32,0.5225433469,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,55,1,31,0.6015676639,3,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,55,1,32,1.1733397657,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,55,1,19,0.2007519146,9,15,15,90,2,"[15,30]","[[""initial"",15],[""useful"",15],[""irrelevant"",90]]"
fixed_initial,56,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,56,1,8,1.0704022665,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,56,1,12,0.4046745528,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,56,1,19,0.4159226989,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,56,1,16,0.5153256946,4,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,56,1,19,1.0498081932,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,56,1,19,1.0498081932,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,57,0,,0.0001620776,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,57,1,7,1.2181611109,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,57,1,13,0.4000947047,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,57,1,16,0.6239401231,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,57,1,16,0.5775553819,6,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,57,1,16,1.2061909697,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,57,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,58,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,58,1,8,1.0589718584,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,58,1,10,0.4651770718,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,58,1,31,0.5843358103,6,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,58,1,19,0.6133899078,3,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,58,1,61,0.9689672277,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,58,1,61,0.3986421888,7,0,75,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""initial"",60]]"
fixed_initial,59,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,59,1,7,1.3095357065,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,59,1,15,0.3886261317,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,59,1,26,0.4694449330,6,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,59,1,26,0.5069928331,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,59,1,26,0.9827307358,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,59,1,19,0.9070422712,7,60,15,45,2,"[15,75]","[[""initial"",15],[""useful"",60],[""irrelevant"",45]]"
fixed_initial,60,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,60,1,7,1.1653436242,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,60,1,16,0.3290946399,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,60,1,19,0.4449925261,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,60,1,19,0.4217706324,6,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,60,1,19,1.1388467032,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,60,1,19,1.1388467032,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,61,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,61,1,8,1.1770350844,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,61,1,11,0.4141154663,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,61,1,31,0.4428343452,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,61,1,16,0.5585900110,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,61,1,31,1.0973308979,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,61,1,31,0.1502701832,6,0,105,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""initial"",90]]"
fixed_initial,62,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,62,1,8,1.0400887372,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,62,1,14,0.3815325105,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,62,1,31,0.4614053916,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,62,1,32,0.3279480848,7,0,60,60,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,62,1,61,0.9146492160,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,62,1,16,0.6051710764,6,45,75,0,2,"[15,60]","[[""initial"",15],[""useful"",45],[""initial"",60]]"
fixed_initial,63,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,63,1,8,1.1345146109,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,63,1,13,0.3912610513,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,63,1,19,0.4702795777,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,63,1,19,0.4415145544,4,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,63,1,19,1.1051266445,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,63,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,64,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,64,1,8,1.1502347087,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,64,1,9,0.5402796877,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,64,1,16,0.6101659120,2,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,64,1,19,0.6588126055,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,64,1,16,0.7450831691,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,64,1,16,0.7450831691,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
fixed_initial,65,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,65,1,8,1.1327839550,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,65,1,13,0.3783457771,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,65,1,18,0.4835423528,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,65,1,32,0.4765412223,3,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,65,1,18,1.1064028984,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,65,0,,0.0081990775,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,66,0,,0.0007251251,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,66,1,7,1.2013896652,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,66,1,11,0.4734509607,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,66,1,32,0.4239635898,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,66,1,18,0.4977822926,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,66,1,32,1.1287189802,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,66,1,32,1.1287189802,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,67,0,,0.0004435294,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,67,1,7,1.2860827805,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,67,1,11,0.4659956106,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,67,1,16,0.7141186065,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,67,1,17,0.6996514864,2,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,67,1,16,1.2742433386,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,67,1,17,0.0465165066,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,68,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,68,1,8,1.1727676125,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,68,1,10,0.4851060611,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,68,1,16,0.5603954058,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,68,1,16,0.6989784381,3,45,60,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,68,1,16,0.8711359275,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,68,1,16,0.8479833323,6,60,60,0,2,"[15,75]","[[""initial"",15],[""useful"",60],[""initial"",45]]"
fixed_initial,69,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,69,1,8,1.0062218374,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,69,1,10,0.4686898271,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,69,1,19,0.4776278178,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,69,1,19,0.4191063680,6,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,69,1,19,0.9854565109,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,69,0,,0.0064344918,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,70,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,70,1,8,1.0439088389,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,70,1,14,0.3681637808,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,70,1,18,0.4134815257,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,70,1,18,0.4795295983,3,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,70,1,18,0.8584470492,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
random_replay,70,1,18,0.8584470492,2,60,15,45,2,"[15,60]","[[""initial"",15],[""irrelevant"",45],[""useful"",60]]"
fixed_initial,71,0,,0.0003883345,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,71,1,7,1.1513129772,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,71,1,10,0.4940047567,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,71,1,19,0.6372738609,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,71,1,19,0.7028457876,2,60,45,15,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,71,1,19,1.1236215931,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,71,0,,0.0084604695,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,72,0,,0.0000753448,6,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,72,1,7,1.2670457728,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,72,1,11,0.4568730940,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,72,1,16,0.7109832576,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,72,1,31,0.6627360760,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,72,1,16,1.2553931806,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,72,1,16,1.2553931806,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,73,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,73,1,7,1.1840775534,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,73,1,13,0.3996317106,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,73,1,17,0.4731799717,6,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,73,1,16,0.6435172355,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,73,1,17,0.8028928718,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,73,1,16,0.8590381490,6,60,60,0,2,"[15,75]","[[""initial"",15],[""useful"",60],[""initial"",45]]"
fixed_initial,74,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,74,1,8,1.0850721414,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,74,1,11,0.4203245410,4,0,0,0,0,[],"[[""mixed"",120]]"
