decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
1,0.0005,1119,1,1.2478117409,117,4
1,0.0005,1120,1,1.0391967485,117,4
1,0.0005,1121,1,1.0797801640,109,5
1,0.0005,1122,1,1.1882319825,114,8
1,0.0005,1123,1,1.1863307556,106,5
1,0.0005,1124,1,1.0410620674,115,7
1,0.0005,1125,1,0.1453887180,2,7
1,0.0005,1126,1,1.1111841773,114,8
1,0.0005,1127,1,0.9558358192,66,4
1,0.0005,1128,1,1.1065789425,108,4
1,0.0005,1129,1,1.0743266284,114,8
1,0.0005,1130,1,1.1780488191,116,5
1,0.0005,1131,1,0.6328518725,37,8
1,0.0005,1132,1,1.2033344033,109,4
1,0.0005,1133,1,1.1414694796,114,8
1,0.0005,1134,1,1.0436292520,99,5
1,0.0005,1135,1,0.1947605137,15,13
1,0.0005,1136,1,1.2155529461,114,8
1,0.0005,1137,1,0.1130040212,3,9
1,0.0005,1138,1,1.1758028210,93,4
1,0.0005,1139,1,1.0446102936,117,4
1,0.0005,1140,1,1.1230060592,117,4
1,0.0005,1141,1,0.1851405114,2,6
1,0.0005,1142,1,1.1527143487,108,4
1,0.0005,1143,1,0.0988771260,3,9
1,0.0005,1144,1,0.2460211336,4,11
1,0.0005,1145,1,1.1284975975,117,4
1,0.0005,1146,1,1.1303332827,115,7
1,0.0005,1147,1,1.0596805060,117,4
1,0.0005,1148,1,1.1695125430,115,7
1,0.0005,1149,1,1.1523161150,108,4
1,0.0005,1150,1,1.2198391245,117,4
1,0.0005,1151,1,1.2213179704,117,4
1,0.0005,1152,1,1.0610833859,87,8
1,0.0005,1153,1,1.2484939225,117,4
1,0.0005,1154,1,1.0315752377,115,7
1,0.0005,1155,1,1.2179212870,115,7
1,0.0005,1156,1,1.0973042304,116,5
1,0.0005,1157,1,1.0883619097,98,8
1,0.0005,1158,1,1.0083622577,115,7
1,0.0005,1159,1,1.1965072597,107,4
1,0.0005,1160,1,1.0682829906,109,4
1,0.0005,1161,1,1.0600966958,116,5
1,0.0005,1162,1,1.0086021165,115,7
1,0.0005,1163,1,0.1985311803,2,6
1,0.0005,1164,1,0.5765486177,23,8
1,0.0005,1165,1,0.6925777419,2,7
1,0.0005,1166,1,1.2158462143,114,8
1,0.0005,1167,1,1.1447420083,116,5
1,0.0005,1168,1,0.0918044577,3,9
1,0.0005,1169,1,1.0559809572,117,4
1,0.0005,1170,1,1.1521252552,116,5
1,0.0005,1171,1,1.0985812968,117,4
1,0.0005,1172,1,0.1356388688,2,6
1,0.0005,1173,1,1.0760322969,117,4
1,0.0005,1174,1,0.8202713159,55,11
1,0.0005,1175,1,0.9017865553,56,7
1,0.0005,1176,1,0.5253520759,29,8
1,0.0005,1177,1,1.1431533242,115,7
1,0.0005,1178,1,0.0491235157,5,14
1,0.0005,1179,1,1.0383824125,114,8
1,0.0005,1180,1,0.7435514146,49,10
1,0.0005,1181,1,1.1385845827,117,4
1,0.0005,1182,1,0.8216454043,55,5
1,0.0005,1183,1,1.0595691173,101,8
1,0.0005,1184,1,0.0970699857,3,9
1,0.0005,1185,1,1.0778585428,108,4
1,0.0005,1186,1,1.1865899857,100,5
1,0.0005,1187,1,0.7900612077,54,10
1,0.0005,1188,1,1.1961903145,114,8
1,0.0005,1189,1,1.1034872943,104,5
1,0.0005,1190,1,1.1285381904,104,5
1,0.0005,1191,1,0.8842981938,63,10
1,0.0005,1192,1,1.0631155509,117,4
1,0.0005,1193,1,1.1784176926,108,4
1,0.0005,1194,1,0.8493952042,63,11
1,0.0005,1195,1,0.9482137600,52,5
1,0.0005,1196,1,1.2080768574,116,5
1,0.0005,1197,1,0.9848680809,101,7
1,0.0005,1198,1,1.1105596278,108,4
1,0.0005,1199,1,0.9823308062,108,5
2,0.0005,1000,1,1.1132917280,116,2
2,0.0005,1001,1,0.9999037269,118,1
2,0.0005,1002,1,1.1264277288,116,2
2,0.0005,1003,1,1.1252792901,116,2
2,0.0005,1004,1,1.2315830468,118,1
2,0.0005,1005,1,1.1948815492,116,2
2,0.0005,1006,1,1.0689979642,110,2
2,0.0005,1007,1,1.1145101723,110,2
2,0.0005,1008,1,1.1730705352,106,2
2,0.0005,1009,1,1.1729023736,118,1
2,0.0005,1010,1,1.1860196495,118,1
2,0.0005,1011,1,1.0308615298,106,2
2,0.0005,1012,1,1.0904435892,106,2
2,0.0005,1013,1,1.1164149889,118,1
2,0.0005,1014,1,1.0628729132,116,2
2,0.0005,1015,1,1.1923972355,116,2
2,0.0005,1016,1,1.1304953731,116,2
2,0.0005,1017,1,1.1756599005,116,2
2,0.0005,1018,1,1.2046524401,118,1
2,0.0005,1019,1,1.1818362725,118,1
2,0.0005,1020,1,1.2150944547,118,1
2,0.0005,1021,1,1.0693000724,116,2
2,0.0005,1022,1,1.2595409305,116,2
2,0.0005,1023,1,1.1657639970,118,1
2,0.0005,1024,1,1.0634755727,116,2
2,0.0005,1025,1,1.1038446756,116,2
2,0.0005,1026,1,1.2310464421,118,1
2,0.0005,1027,1,1.2771391476,118,1
2,0.0005,1028,1,1.1402464830,116,2
2,0.0005,1029,1,1.1477799310,118,1
2,0.0005,1030,1,1.0429389407,106,2
2,0.0005,1031,1,1.1221827042,118,1
2,0.0005,1032,1,1.1906222075,118,1
2,0.0005,1033,1,0.9840674659,116,2
2,0.0005,1034,1,1.1002564114,118,1
2,0.0005,1035,1,1.1771834360,116,2
2,0.0005,1036,1,1.2062512912,116,2
2,0.0005,1037,1,1.2823355127,116,2
2,0.0005,1038,1,1.1453850381,116,2
2,0.0005,1039,1,1.0744294012,116,2
2,0.0005,1040,1,1.1786794591,116,2
2,0.0005,1041,1,1.1095785342,116,2
2,0.0005,1042,1,1.1577975652,118,1
2,0.0005,1043,1,1.0248135430,116,2
2,0.0005,1044,1,1.0723346137,116,2
2,0.0005,1045,1,1.1065316459,118,1
2,0.0005,1046,1,1.1951018539,116,2
2,0.0005,1047,1,1.1936957429,116,2
2,0.0005,1048,1,1.1308531858,116,2
2,0.0005,1049,1,1.0998668874,118,1
2,0.0005,1050,1,1.1943894273,118,1
2,0.0005,1051,1,1.1418575870,118,1
2,0.0005,1052,1,1.0930199162,116,2
2,0.0005,1053,1,1.0725607463,106,2
2,0.0005,1054,1,1.2454714000,118,1
2,0.0005,1055,1,1.2078105312,118,1
2,0.0005,1056,1,1.2636210964,118,1
2,0.0005,1057,1,1.0890807321,118,1
2,0.0005,1058,1,1.1160593630,118,1
2,0.0005,1059,1,1.2133699848,118,1
2,0.0005,1060,1,1.1117071892,118,1
2,0.0005,1061,1,1.1365782338,118,1
2,0.0005,1062,1,1.1791692009,116,2
2,0.0005,1063,1,1.2577687106,116,2
2,0.0005,1064,1,1.1031209013,118,1
2,0.0005,1065,1,0.3589184868,20,4
2,0.0005,1066,1,1.0835001476,118,1
2,0.0005,1067,1,1.2871516801,118,1
2,0.0005,1068,1,1.0866510618,110,2
2,0.0005,1069,1,1.1189311343,118,1
2,0.0005,1070,1,1.0629492320,116,2
2,0.0005,1071,1,1.3047404952,116,2
2,0.0005,1072,1,1.0780757177,118,1
