decision_block_steps,evaluation_threshold,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,switch_count,first_useful_entry_step
3,0.001,1,1,8,1.2920454922,2,117,1,3
3,0.001,2,1,8,1.1438533224,2,117,1,3
3,0.001,3,1,10,1.1790939124,2,114,2,6
3,0.001,4,1,9,1.1234582380,2,114,2,6
3,0.001,5,1,11,1.1470229401,2,114,2,6
3,0.001,6,1,8,1.1638896551,2,117,1,3
3,0.001,7,1,11,1.1279854861,2,114,2,6
3,0.001,8,1,8,1.2504609138,2,117,1,3
3,0.001,9,1,8,1.0946411728,2,117,1,3
3,0.001,10,1,26,1.0836353254,2,96,2,24
3,0.001,11,1,11,1.1748693127,2,114,2,6
3,0.001,12,1,10,1.2003162715,2,114,2,6
3,0.001,13,1,10,1.2063043872,2,114,2,6
3,0.001,14,1,8,1.2345579642,2,117,1,3
3,0.001,15,1,9,0.9872001372,2,114,2,6
3,0.001,16,1,8,1.1595759929,2,117,1,3
3,0.001,17,1,10,1.2148196510,2,114,2,6
3,0.001,18,1,25,1.2130661316,2,96,2,24
3,0.001,19,1,8,1.1613783212,2,117,1,3
3,0.001,20,1,8,1.1035395865,2,117,1,3
3,0.001,21,1,10,1.2400145531,2,114,2,6
3,0.001,22,1,8,0.9540156996,2,117,1,3
3,0.001,23,1,26,1.1365970013,2,96,2,24
3,0.001,24,1,8,1.1346051397,2,117,1,3
3,0.001,25,1,8,1.2620323771,2,117,1,3
3,0.001,26,1,9,1.0231232404,2,117,1,3
3,0.001,27,1,8,1.1918112419,2,117,1,3
3,0.001,28,1,11,1.1604272524,2,114,2,6
3,0.001,29,1,8,1.1284635834,2,117,1,3
3,0.001,30,1,11,1.0629913805,2,114,2,6
3,0.001,31,1,8,1.1427167211,2,117,1,3
3,0.001,32,1,10,1.1288148562,2,114,2,6
3,0.001,33,1,20,1.1515529217,2,102,2,18
3,0.001,34,1,9,1.1424616425,2,114,2,6
3,0.001,35,1,8,1.1715168293,2,117,1,3
3,0.001,36,1,9,1.2463831451,2,114,2,6
3,0.001,37,1,9,1.0120013513,2,117,1,3
3,0.001,38,1,20,1.0990090167,2,102,2,18
3,0.001,39,1,10,1.1569041532,2,114,2,6
3,0.001,40,1,7,1.2037624073,2,117,1,3
3,0.001,41,1,8,1.0724373831,2,117,1,3
3,0.001,42,1,9,1.0145503325,2,114,2,6
3,0.001,43,1,10,1.2421042098,2,114,2,6
3,0.001,44,1,9,1.2011112380,2,114,2,6
3,0.001,45,1,8,1.1725308084,2,117,1,3
3,0.001,46,1,9,1.0465814915,2,117,1,3
3,0.001,47,1,20,1.1254992892,2,102,2,18
3,0.001,48,1,8,1.0743105138,2,117,1,3
3,0.001,49,1,8,1.1749030769,2,117,1,3
3,0.001,50,1,11,1.1098505918,2,114,2,6
3,0.001,51,1,8,1.1594844899,2,117,1,3
3,0.001,52,1,9,0.9771259757,2,117,1,3
3,0.001,53,1,10,1.1697557240,2,114,2,6
3,0.001,54,1,9,0.9953241923,2,114,2,6
3,0.001,55,1,8,1.2654765282,2,117,1,3
3,0.001,56,1,9,1.0693426809,2,117,1,3
3,0.001,57,1,8,1.2175705825,2,117,1,3
3,0.001,58,1,9,1.0578452391,2,114,2,6
3,0.001,59,1,8,1.3082362537,2,117,1,3
3,0.001,60,1,8,1.1642294720,2,117,1,3
3,0.001,61,1,10,1.1724172625,2,114,2,6
3,0.001,62,1,10,1.0372033451,2,114,2,6
3,0.001,63,1,11,1.1297143709,2,114,2,6
3,0.001,64,1,22,1.1107549496,2,102,2,18
3,0.001,65,1,11,1.1276680698,2,114,2,6
3,0.001,66,1,8,1.2002356730,2,117,1,3
3,0.001,67,1,10,1.2826319048,2,114,2,6
3,0.001,68,1,8,1.1722240291,2,117,1,3
3,0.001,69,1,9,1.0051742018,2,114,2,6
3,0.001,70,1,11,1.0397274571,2,114,2,6
3,0.001,71,1,8,1.1502399425,2,117,1,3
3,0.001,72,1,7,1.2665132453,2,117,1,3
3,0.001,73,1,8,1.1835340710,2,117,1,3
3,0.001,74,1,11,1.0800084929,2,114,2,6
3,0.001,75,1,21,1.0810689586,2,102,2,18
3,0.001,76,1,19,1.2305022433,2,102,2,18
3,0.001,77,1,9,1.0331049137,2,117,1,3
3,0.001,78,1,11,1.0126865228,2,114,2,6
3,0.001,79,1,8,1.1718007248,2,117,1,3
3,0.001,80,1,10,1.1719052793,2,114,2,6
3,0.001,81,1,8,1.1347948795,2,117,1,3
3,0.001,82,1,8,1.1761946635,2,117,1,3
3,0.001,83,1,10,1.1933792048,2,114,2,6
3,0.001,84,1,25,1.1470449605,2,96,2,24
